"Data","Regiao","Sum(Novos_Confirmados_Dia)","Sum(Novos_Mortos_Dia)","Mean(Area)","Mean(Populacao)","Mean(Densidade_Demografica)","Mean(Tx_Geomet_Cresc_Anual_Popul_2010_2020)","Mean(Grau_Urbanizacao)","Mean(Ind_Envelhecimento)","Mean(Popul_Menos_15Anos)","Mean(Popul_60Anos_Mais)","Mean(Razao_Sexos)","Mean(Ind_Isolamento(%))","Mean(Total_Leitos_UTI_Adulto)","Mean(Total_Leitos_UTI_Pediatrica)","Mean(Total_SUS)","Mean(Total_SUS_Pediatrica)"
"11/03/2020","Oeste",0,0,179.95,138132.0,767.61,2.45,100.0,59.26,20.28,12.02,97.12,0.0,0.0,0.0,0.0,0.0
"11/04/2020","Centro",149,13,1521.11,1.186966E7,7803.29,0.54,99.1,82.2,18.99,15.61,90.89,54.0,957.0,20.0,20.0,0.0
"11/04/2020","Leste",21,2,233.02444444444444,325400.5555555555,2795.7788888888886,1.2155555555555555,94.07666666666665,60.76222222222222,20.947777777777773,12.663333333333332,96.43888888888888,46.22222222222222,2.888888888888889,0.22222222222222227,0.0,0.0
"11/04/2020","Norte",3,0,146.302,120693.0,1326.854,1.6440000000000001,96.23800000000001,55.790000000000006,20.794,11.448,99.50399999999999,60.400000000000006,0.0,0.0,0.0,0.0
"11/04/2020","Oeste",8,0,74.21000000000001,266908.3333333334,6109.396666666668,1.2216666666666667,100.0,54.82166666666667,21.560000000000002,11.718333333333334,95.27333333333334,56.66666666666667,5.5,0.0,0.0,0.0
"11/04/2020","Sudeste",4,1,118.38571428571427,384370.00000000006,5566.045714285714,0.6085714285714287,99.77000000000001,88.05714285714284,18.244285714285716,15.475714285714286,93.58285714285716,49.85714285714286,28.428571428571423,1.9999999999999998,0.0,0.0
"11/04/2020","Sudoeste",7,1,127.275,141468.0,3556.0733333333337,1.475,99.41666666666666,53.44166666666668,21.915000000000003,11.668333333333335,96.32666666666667,38.50000000000001,0.0,0.0,0.0,0.0
"12/03/2020","Centro",15,0,1521.11,1.186966E7,7803.29,0.54,99.1,82.2,18.99,15.61,90.89,25.0,957.0,20.0,20.0,0.0
"12/03/2020","Leste",1,0,29.56,193037.0,6530.35,1.39,95.51,50.76,21.48,10.9,95.47,32.0,0.0,0.0,0.0,0.0
"12/03/2020","Oeste",0,0,179.95,138132.0,767.61,2.45,100.0,59.26,20.28,12.02,97.12,32.0,0.0,0.0,0.0,0.0
"12/04/2020","Centro",221,23,1521.11,1.186966E7,7803.29,0.54,99.1,82.2,18.99,15.61,90.89,58.0,957.0,20.0,20.0,0.0
"12/04/2020","Leste",12,0,233.02444444444444,325400.5555555555,2795.7788888888886,1.2155555555555555,94.07666666666665,60.76222222222222,20.947777777777773,12.663333333333332,96.43888888888888,49.88888888888889,2.888888888888889,0.22222222222222227,0.0,0.0
