"Data","Municipio","Confirmados","Ultimo_Confirmado_Por_100k_habitantes","Novos_Confirmados_Dia","Mortos","Novos_Mortos_Dia","Ultimo_Rate_Mortos","is_repeated","Regiao","Latitude","Longitude","Area","Populacao","Densidade_Demografica","Tx_Geomet_Cresc_Anual_Popul_2010_2020","Grau_Urbanizacao","Ind_Envelhecimento","Popul_Menos_15Anos","Popul_60Anos_Mais","Razao_Sexos","Ind_Isolamento(%)","Total_Leitos_UTI_Adulto","Total_Leitos_UTI_Pediatrica","Total_SUS","Total_SUS_Pediatrica"
"10/04/2020","Ferraz de Vasconcelos",35,"1.801.561",7,0,0,0.0,"False","Leste",-23.529,-46.3636,29.56,193037,6530.35,1.39,95.51,50.76,21.48,10.9,95.47,59,0,0,0,0
"10/04/2020","Francisco Morato",12,"682.423",3,1,0,0.0833,"False","Norte",-23.2794,-46.7448,49.0,174403,3559.24,1.23,99.8,46.83,22.9,10.72,98.05,58,0,0,0,0
"10/04/2020","Franco da Rocha",18,"1.165.131",1,1,0,0.0556,"False","Norte",-23.3234,-46.7295,132.78,152201,1146.26,1.48,92.13,53.96,20.81,11.23,103.63,62,0,0,0,0
"10/04/2020","Guararema",2,"671.186",0,0,0,0.0,"False","Leste",-23.4129,-46.035,270.82,29429,108.67,1.32,86.05,70.18,20.16,14.15,99.72,0,2,0,0,0
"10/04/2020","Guarulhos",178,"129.062",24,16,5,0.0899,"False","Leste",-23.4543,-46.5337,318.68,1351275,4240.23,1.02,100.0,57.41,20.97,12.04,95.01,61,23,2,0,0
"10/04/2020","Itapecerica da Serra",26,"1.479.854",4,1,0,0.0385,"False","Sudoeste",-23.7154,-46.8526,150.74,169619,1125.24,1.08,99.17,48.05,22.36,10.74,99.46,65,0,0,0,0
"10/04/2020","Itapevi",17,"715.187",2,4,1,0.2353,"False","Oeste",-23.5493,-46.9332,82.66,237714,2875.8,1.72,100.0,42.1,23.08,9.72,96.78,59,0,0,0,0
"10/04/2020","Itaquaquecetuba",24,"647.213",0,0,0,0.0,"False","Leste",-23.4849,-46.3495,82.62,370589,4485.46,1.44,100.0,45.33,22.35,10.13,96.77,64,0,0,0,0
"10/04/2020","Jandira",3,"240.121",0,0,0,0.0,"False","Oeste",-23.528,-46.9028,17.45,123603,7083.27,1.34,100.0,52.93,20.51,10.85,95.76,60,0,0,0,0
"10/04/2020","Mairiporã",7,"698.749",0,2,0,0.2857,"False","Norte",-23.3157,-46.5824,320.7,98622,307.52,2.02,92.18,72.45,18.48,13.39,100.69,67,0,0,0,0
"10/04/2020","Mauá",42,"888.114",4,0,0,0.0,"False","Sudeste",-23.6666,-46.4599,61.91,460132,7432.27,1.0,100.0,66.02,19.03,12.56,95.49,61,0,0,0,0
"10/04/2020","Mogi das Cruzes",50,"1.121.474",13,2,1,0.04,"False","Leste",-23.5393,-46.2167,712.54,432905,607.55,1.12,92.75,70.73,19.84,14.03,94.79,61,0,0,0,0
"10/04/2020","Osasco",121,"1.732.487",14,8,1,0.0661,"False","Oeste",-23.5334,-46.7915,64.95,680964,10484.43,0.21,100.0,68.76,19.89,13.68,92.8,60,30,0,0,0
"10/04/2020","Poá",9,"76.627",2,1,0,0.1111,"False","Leste",-23.5338,-46.3477,17.26,115538,6693.97,0.87,98.42,61.87,21.35,13.21,94.37,65,0,0,0,0
"10/04/2020","Ribeirão Pires",15,"1.215.628",0,0,0,0.0,"False","Sudeste",-23.7082,-46.4042,99.08,118968,1200.73,0.52,100.0,92.74,17.61,16.33,95.64,70,0,0,0,0
"10/04/2020","Rio Grande da Serra",4,"786.689",0,0,0,0.0,"False","Sudeste",-23.7442,-46.3975,36.34,49816,1370.83,1.27,100.0,59.08,19.8,11.7,97.42,0,0,0,0,0
"10/04/2020","Santa Isabel",1,"174.259",0,0,0,0.0,"False","Leste",-23.3158,-46.2254,363.33,55086,151.61,0.89,81.17,73.29,20.1,14.73,98.71,0,1,0,0,0
"10/04/2020","Santana de Parnaíba",32,"2.294.779",1,0,0,0.0,"False","Oeste",-23.443,-46.9227,179.95,138132,767.61,2.45,100.0,59.26,20.28,12.02,97.12,61,0,0,0,0
"10/04/2020","Santo André",139,"1.933.851",9,3,0,0.0216,"False","Sudeste",-23.6742,-46.5436,175.78,693867,3947.36,0.26,100.0,102.66,17.31,17.77,92.45,58,30,0,0,0
"10/04/2020","Suzano",30,"1.007.939",6,1,0,0.0333,"False","Leste",-23.5453,-46.3116,206.24,291002,1410.99,1.05,96.48,61.53,20.75,12.77,95.86,61,0,0,0,0
"10/04/2020","São Bernardo do Campo",174,"2.074.056",10,9,2,0.0517,"False","Sudeste",-23.6898,-46.5648,409.53,812086,1982.97,0.6,98.39,81.93,18.38,15.06,93.57,59,119,10,0,0
"10/04/2020","São Caetano do Sul",62,"3.847.896",3,1,0,0.0161,"False","Sudeste",-23.6234,-46.5552,15.33,151244,9865.88,0.14,100.0,157.5,14.66,23.1,86.82,56,30,4,0,0
